Angle,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction
47.2026,262,262,262,262,Clockwise,4125,4125,4125,4125,Forward
32.3474,179,179,179,179,Clockwise,2419,2419,2419,2419,Forward
53.1301,295,295,295,295,Clockwise,5092,5092,5092,5092,Forward
40.9144,227,227,227,227,Clockwise,3310,3310,3310,3310,Forward
49.7998,276,276,276,276,Clockwise,4520,4520,4520,4520,Forward
26.5651,147,147,147,147,Clockwise,1909,1909,1909,1909,Forward
33.6901,187,187,187,187,Clockwise,2546,2546,2546,2546,Forward
28.5167,158,158,158,158,Clockwise,2075,2075,2075,2075,Forward
6.65443,36,36,36,36,Clockwise,445,445,445,445,Forward
46.8476,260,260,260,260,Clockwise,4074,4074,4074,4074,Forward
33.6901,187,187,187,187,Clockwise,2546,2546,2546,2546,Forward
37.4762,208,208,208,208,Clockwise,2928,2928,2928,2928,Forward
39.2374,217,217,217,217,Clockwise,3119,3119,3119,3119,Forward
47.8986,266,266,266,266,Clockwise,4227,4227,4227,4227,Forward
27.4744,152,152,152,152,Clockwise,1986,1986,1986,1986,Forward
32.8894,182,182,182,182,Clockwise,2470,2470,2470,2470,Forward
31.7989,176,176,176,176,Clockwise,2368,2368,2368,2368,Forward
40.4752,224,224,224,224,Clockwise,3259,3259,3259,3259,Forward
47.9843,266,266,266,266,Clockwise,4239,4239,4239,4239,Forward
45,250,250,250,250,Clockwise,3819,3819,3819,3819,Forward
